dataset,metric,lambda,local_lambda,tuning,model,error_rate,global,local,count
credit_card_clients,demographic_parity,0.5,0,False,Reweighing,19.1088,0.6134,1.4358,5
credit_card_clients,demographic_parity,0.5,0,False,LFR,22.1422,0.0,0.0,5
credit_card_clients,demographic_parity,0.5,0,False,DisparateImpactRemover,19.1955,1.6676,1.5619,5
credit_card_clients,demographic_parity,0.5,0,False,Fair-SMOTE,22.0733,5.7009,8.5098,5
credit_card_clients,demographic_parity,0.5,0,False,LTDD,19.1178,0.5145,1.5922,5
credit_card_clients,demographic_parity,0.5,0,False,PrejudiceRemover,19.109,2.3316,2.0887,5
credit_card_clients,demographic_parity,0.5,0,False,FairnessConstraintModel,19.9178,0.6022,1.5682,5
credit_card_clients,demographic_parity,0.5,0,False,GerryFairClassifier,20.2622,1.7601,1.0598,5
credit_card_clients,demographic_parity,0.5,0,False,AdversarialDebiasing,18.4512,0.6812,3.205,5
credit_card_clients,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,19.1356,1.4875,1.1891,5
credit_card_clients,demographic_parity,0.5,0,False,GridSearchReduction,19.3622,1.0839,1.2552,5
credit_card_clients,demographic_parity,0.5,0,False,MetaFairClassifier,53.6423,23.894,22.7912,5
credit_card_clients,demographic_parity,0.5,0,False,FAGTB,18.54,1.3157,2.2864,5
credit_card_clients,demographic_parity,0.5,0,False,FairGeneralizedLinearModel,19.1178,1.4398,1.1031,5
credit_card_clients,demographic_parity,0.5,0,False,GradualCompatibility,39.9422,5.1069,3.7517,5
credit_card_clients,demographic_parity,0.5,0,False,RejectOptionClassification,20.8067,4.2505,2.9299,5
credit_card_clients,demographic_parity,0.5,0,False,EqOddsPostprocessing,19.7868,0.8322,2.019,5
credit_card_clients,demographic_parity,0.5,0,False,CalibratedEqOddsPostprocessing,20.0867,7.4052,6.3949,5
credit_card_clients,demographic_parity,0.5,0,False,JiangNachum,18.7043,0.732,2.3562,5
credit_card_clients,demographic_parity,0.5,0,False,FaX,19.0445,1.4878,1.2092,5
adult_data_set,demographic_parity,0.5,0,False,Reweighing,21.6782,5.3461,4.3517,5
adult_data_set,demographic_parity,0.5,0,False,LFR,24.8723,0.0,0.0,5
adult_data_set,demographic_parity,0.5,0,False,DisparateImpactRemover,21.597,8.8977,6.5469,5
adult_data_set,demographic_parity,0.5,0,False,Fair-SMOTE,29.0393,8.3725,7.7742,5
adult_data_set,demographic_parity,0.5,0,False,LTDD,22.3904,1.6832,3.8018,5
adult_data_set,demographic_parity,0.5,0,False,PrejudiceRemover,20.0217,23.8052,23.2693,5
adult_data_set,demographic_parity,0.5,0,False,GerryFairClassifier,54.6353,1.1625,1.1341,5
adult_data_set,demographic_parity,0.5,0,False,AdversarialDebiasing,20.4546,11.0384,10.3098,5
adult_data_set,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,22.958,1.2847,4.0201,5
adult_data_set,demographic_parity,0.5,0,False,GridSearchReduction,22.499,2.8367,3.8892,5
adult_data_set,demographic_parity,0.5,0,False,MetaFairClassifier,34.6645,11.0715,18.7083,5
adult_data_set,demographic_parity,0.5,0,False,FAGTB,22.9002,8.1757,10.3685,5
adult_data_set,demographic_parity,0.5,0,False,GradualCompatibility,22.8335,7.0958,5.8019,5
adult_data_set,demographic_parity,0.5,0,False,EqOddsPostprocessing,24.464,0.8475,1.6246,5
adult_data_set,demographic_parity,0.5,0,False,CalibratedEqOddsPostprocessing,19.9203,23.9395,23.3836,5
adult_data_set,demographic_parity,0.5,0,False,JiangNachum,23.2794,0.6792,4.2669,5
adult_data_set,demographic_parity,0.5,0,False,FaX,21.7751,6.7817,5.5797,5
acs2017_census,demographic_parity,0.5,0,False,Reweighing,10.3025,15.0005,2.0016,5
acs2017_census,demographic_parity,0.5,0,False,LFR,40.5455,0.0,0.0,5
acs2017_census,demographic_parity,0.5,0,False,DisparateImpactRemover,10.6601,12.7569,4.1734,5
acs2017_census,demographic_parity,0.5,0,False,Fair-SMOTE,10.8756,15.3691,2.4361,5
acs2017_census,demographic_parity,0.5,0,False,LTDD,13.4809,0.628,16.678,5
acs2017_census,demographic_parity,0.5,0,False,PrejudiceRemover,9.9761,22.1764,6.9558,5
acs2017_census,demographic_parity,0.5,0,False,GerryFairClassifier,11.0717,19.5668,5.6664,5
acs2017_census,demographic_parity,0.5,0,False,AdversarialDebiasing,9.6938,17.0187,2.957,5
acs2017_census,demographic_parity,0.5,0,False,ExponentiatedGradientReduction,18.5112,1.8972,7.5596,5
acs2017_census,demographic_parity,0.5,0,False,GridSearchReduction,15.8801,5.5459,5.6298,5
acs2017_census,demographic_parity,0.5,0,False,MetaFairClassifier,18.6112,12.9412,10.3814,5
acs2017_census,demographic_parity,0.5,0,False,FAGTB,59.4545,0.0,0.0,5
acs2017_census,demographic_parity,0.5,0,False,GradualCompatibility,10.5876,18.8115,2.9809,5
acs2017_census,demographic_parity,0.5,0,False,EqOddsPostprocessing,12.7063,15.6309,6.9186,5
acs2017_census,demographic_parity,0.5,0,False,CalibratedEqOddsPostprocessing,11.1112,25.2997,10.7223,5
acs2017_census,demographic_parity,0.5,0,False,JiangNachum,15.3667,0.5814,18.4737,5
acs2017_census,demographic_parity,0.5,0,False,FaX,10.056,18.3428,2.9935,5
communities,treatment_equality,0.5,0,False,Reweighing,18.0635,39.9987,40.7743,5
communities,treatment_equality,0.5,0,False,LFR,39.4657,0.0,0.0,5
communities,treatment_equality,0.5,0,False,DisparateImpactRemover,20.3672,49.5096,50.2853,5
communities,treatment_equality,0.5,0,False,Fair-SMOTE,18.5977,33.9088,34.3286,5
communities,treatment_equality,0.5,0,False,LTDD,22.237,68.6757,65.14,5
communities,treatment_equality,0.5,0,False,PrejudiceRemover,14.7914,31.5958,34.6909,5
communities,treatment_equality,0.5,0,False,FairnessConstraintModel,26.0767,57.248,56.3509,5
communities,treatment_equality,0.5,0,False,DisparateMistreatmentModel,17.3622,20.9491,25.8364,5
communities,treatment_equality,0.5,0,False,GerryFairClassifier,46.2437,0.8108,1.0319,5
communities,treatment_equality,0.5,0,False,AdversarialDebiasing,15.6594,18.5651,25.8269,5
communities,treatment_equality,0.5,0,False,ExponentiatedGradientReduction,27.5126,58.0207,54.0475,5
communities,treatment_equality,0.5,0,False,GridSearchReduction,22.237,46.7025,41.2607,5
communities,treatment_equality,0.5,0,False,MetaFairClassifier,21.369,13.5246,19.9417,5
communities,treatment_equality,0.5,0,False,FAGTB,20.4007,24.8583,28.9299,5
communities,treatment_equality,0.5,0,False,FairGeneralizedLinearModel,15.8932,15.0937,25.0365,5
communities,treatment_equality,0.5,0,False,GradualCompatibility,15.2588,13.9289,20.4285,5
communities,treatment_equality,0.5,0,False,RejectOptionClassification,45.576,0.2192,0.1519,5
communities,treatment_equality,0.5,0,False,EqOddsPostprocessing,28.0133,42.0078,44.8151,5
communities,treatment_equality,0.5,0,False,CalibratedEqOddsPostprocessing,18.1635,56.4631,56.3959,5
communities,treatment_equality,0.5,0,False,JiangNachum,14.8582,36.3985,35.7115,5
communities,treatment_equality,0.5,0,False,FaX,16.1937,11.2313,16.7852,5
compas,treatment_equality,0.5,0,False,Reweighing,32.4515,4.9617,11.1951,5
compas,treatment_equality,0.5,0,False,LFR,45.7453,1.6847,1.3392,5
compas,treatment_equality,0.5,0,False,DisparateImpactRemover,32.6135,16.7529,13.6153,5
compas,treatment_equality,0.5,0,False,Fair-SMOTE,33.4558,4.1081,12.4767,5
compas,treatment_equality,0.5,0,False,LTDD,32.8079,9.4953,16.2457,5
compas,treatment_equality,0.5,0,False,PrejudiceRemover,32.0411,20.1519,14.957,5
compas,treatment_equality,0.5,0,False,FairnessConstraintModel,50.8748,18.4016,18.4218,5
compas,treatment_equality,0.5,0,False,DisparateMistreatmentModel,36.35,10.6928,6.5147,5
compas,treatment_equality,0.5,0,False,GerryFairClassifier,54.2223,0.0,0.0,5
compas,treatment_equality,0.5,0,False,AdversarialDebiasing,32.4947,14.8111,21.7644,5
compas,treatment_equality,0.5,0,False,ExponentiatedGradientReduction,43.6501,6.9344,11.5575,5
compas,treatment_equality,0.5,0,False,GridSearchReduction,33.013,16.782,10.6168,5
compas,treatment_equality,0.5,0,False,MetaFairClassifier,33.5206,32.1823,27.1863,5
compas,treatment_equality,0.5,0,False,FAGTB,34.3197,8.4907,15.1772,5
compas,treatment_equality,0.5,0,False,FairGeneralizedLinearModel,32.4515,21.1213,15.7943,5
compas,treatment_equality,0.5,0,False,GradualCompatibility,34.9567,15.682,14.486,5
compas,treatment_equality,0.5,0,False,RejectOptionClassification,43.0346,2.9905,3.0372,5
compas,treatment_equality,0.5,0,False,EqOddsPostprocessing,36.8574,7.4437,14.2585,5
compas,treatment_equality,0.5,0,False,CalibratedEqOddsPostprocessing,32.9159,24.9278,20.8711,5
compas,treatment_equality,0.5,0,False,JiangNachum,32.4839,21.5618,16.3581,5
compas,treatment_equality,0.5,0,False,FaX,32.4083,21.1731,15.5512,5
german,treatment_equality,0.5,0,False,Reweighing,22.1333,15.3078,19.0941,5
german,treatment_equality,0.5,0,False,LFR,22.1333,0.0,0.0,5
german,treatment_equality,0.5,0,False,DisparateImpactRemover,22.0666,14.1249,19.7926,5
german,treatment_equality,0.5,0,False,Fair-SMOTE,29.8667,18.6724,23.038,5
german,treatment_equality,0.5,0,False,LTDD,22.4,18.6866,21.8592,5
german,treatment_equality,0.5,0,False,PrejudiceRemover,21.5334,12.2128,17.1225,5
german,treatment_equality,0.5,0,False,FairnessConstraintModel,22.2,18.1692,19.702,5
german,treatment_equality,0.5,0,False,DisparateMistreatmentModel,22.1333,12.0419,16.1901,5
german,treatment_equality,0.5,0,False,GerryFairClassifier,22.1333,7.7038,13.962,5
german,treatment_equality,0.5,0,False,AdversarialDebiasing,28.2666,36.5222,36.1996,5
german,treatment_equality,0.5,0,False,ExponentiatedGradientReduction,21.7333,9.8401,16.9264,5
german,treatment_equality,0.5,0,False,GridSearchReduction,21.9334,11.2582,18.4131,5
german,treatment_equality,0.5,0,False,MetaFairClassifier,22.1333,11.8648,17.5251,5
german,treatment_equality,0.5,0,False,FAGTB,24.2668,9.8972,18.7218,5
german,treatment_equality,0.5,0,False,FairGeneralizedLinearModel,22.0,12.3681,18.0974,5
german,treatment_equality,0.5,0,False,GradualCompatibility,22.0667,12.2267,17.7578,5
german,treatment_equality,0.5,0,False,RejectOptionClassification,34.7333,12.1942,21.4641,5
german,treatment_equality,0.5,0,False,EqOddsPostprocessing,31.7999,9.908,12.0054,5
german,treatment_equality,0.5,0,False,CalibratedEqOddsPostprocessing,22.4667,19.9291,14.9773,5
german,treatment_equality,0.5,0,False,JiangNachum,21.6,12.0743,18.52,5
